UBIGEO,N_MERCADOS_2017,N_MERCADOS_2022,N_MERCADOS_2023
100608,0,0,0
100609,0,0,0
100610,0,0,0
100701,1,1,1
100703,0,0,0
100704,1,1,1
100705,0,0,0
100801,1,1,1
100802,1,1,1
100803,0,0,0
100804,0,0,0
100901,1,1,1
100902,0,0,0
100903,0,0,0
100904,0,0,0
100905,0,0,0
101001,0,0,0
101002,1,1,1
101003,0,0,0
101004,0,0,0
101005,0,1,1
101005,0,1,1
101006,0,0,0
101007,0,0,0
101101,0,0,0
101102,0,0,0
101103,0,0,0
101104,1,1,1
101105,0,0,0
101106,0,0,0
101107,0,0,0
101108,0,0,0
110101,8,8,8
110102,4,4,4
110103,0,0,0
110104,0,0,0
110105,0,0,0
110106,6,6,6
110107,0,0,0
110108,0,0,0
110109,0,0,0
110110,0,0,0
110111,0,0,0
110112,0,0,0
110113,0,0,0
110114,0,0,0
110201,3,3,3
110202,0,0,0
110203,0,0,0
110204,0,0,0
110205,0,0,0
110206,0,0,0
110207,3,3,3
110208,0,0,0
110209,0,0,0
110210,0,0,0
110211,0,0,0
110301,2,2,2
110302,0,0,0
110303,0,0,0
110304,2,2,2
110305,1,1,1
110401,1,1,1
110402,0,0,0
110403,0,0,0
110404,0,0,0
110405,0,0,0
110501,2,2,2
110502,0,0,0
110503,0,0,0
110504,1,1,1
110505,0,0,0
110506,0,0,0
110507,1,1,1
110508,1,1,1
120101,19,19,19
120104,0,0,0
120105,0,0,0
120106,0,0,0
120107,5,5,5
120111,0,0,0
120112,0,0,0
120113,0,0,0
120114,28,28,28
120116,0,0,0
120117,1,1,1
120119,1,1,1
120120,0,0,0
120121,1,1,1
120122,0,0,0
120124,0,0,0
120125,2,2,2
120126,0,0,0
120127,0,0,0
120128,0,0,0
120129,1,1,1
120129,1,1,1
120130,0,0,0
120132,1,1,1
120133,1,1,1
120134,0,0,0
120135,0,0,0
120136,1,1,1
120201,3,3,3
120202,0,0,0
120203,0,0,0
120204,1,1,1
120205,0,0,0
120206,1,1,1
120207,0,0,0
120208,0,0,0
120209,0,0,0
120210,1,1,1
120211,0,0,0
120212,0,0,0
120213,0,0,0
120214,0,0,0
120215,1,1,1
120301,4,4,4
120302,3,3,3
120303,3,3,3
120304,0,0,0
120305,5,5,5
120306,0,0,0
120401,4,4,4
120402,0,0,0
120403,0,0,0
120404,0,0,0
120405,0,0,0
120406,0,0,0
120407,0,0,0
120408,0,0,0
120409,0,0,0
120410,0,0,0
120411,0,0,0
120412,0,0,0
120413,0,0,0
120414,0,0,0
120415,0,0,0
120416,0,0,0
120417,0,0,0
120418,1,1,1
120419,0,0,0
120420,0,0,0
120421,0,0,0
120422,0,0,0
120423,0,0,0
120424,0,0,0
120425,0,0,0
120426,0,0,0
120427,0,0,0
120428,0,0,0
120429,0,0,0
120430,0,0,0
120431,0,0,0
120432,0,0,0
120433,0,0,0
120434,0,0,0
120501,1,1,1
120502,1,1,1
120503,0,0,0
120504,0,0,0
120601,5,5,5
120602,0,0,0
120603,0,0,0
120604,1,1,1
120606,1,1,1
120607,1,1,1
120608,0,0,0
120609,0,0,0
120701,7,7,7
120702,1,1,1
120703,0,0,0
120704,1,1,1
120705,0,0,0
120706,0,0,0
120707,0,0,0
120708,0,0,0
120709,1,1,1
120801,5,5,5
120801,5,5,5
120802,0,0,0
120803,0,0,0
120804,0,0,0
120805,2,2,2
120806,0,0,0
120807,0,0,0
120809,0,0,0
120810,1,1,1
120901,2,2,2
120902,0,0,0
120903,0,0,0
120904,0,0,0
120905,0,0,0
120907,0,0,0
120908,0,0,0
120909,1,1,1
130101,42,42,42
130102,11,11,11
130102,11,11,11
130103,3,3,3
130104,8,8,8
130105,18,18,18
130106,2,2,2
130107,4,4,4
130108,1,1,1
130109,1,1,1
130109,1,1,1
130110,1,1,1
130111,6,6,6
130201,1,1,1
130202,3,3,3
130202,3,3,3
130203,1,1,1
130204,0,0,0
130205,2,2,2
130206,1,1,1
130207,3,3,3
130208,2,2,2
130301,1,1,1
130302,0,0,0
130304,0,0,0
130305,0,0,0
130306,0,0,0
130401,4,4,4
130402,2,2,2
130403,1,1,1
130501,0,0,0
130502,0,0,0
130503,0,0,0
130504,0,0,0
130601,1,1,1
130601,1,1,1
130602,0,0,0
130604,0,0,0
130605,0,0,0
130606,0,0,0
130608,0,0,0
130610,0,0,0
130611,0,0,0
130613,0,0,0
130614,0,0,0
130701,2,2,2
130702,2,2,2
130703,1,1,1
130704,4,4,4
130705,4,4,4
130801,3,3,3
130802,0,0,0
130803,2,2,2
130804,1,1,1
130805,0,0,0
130806,0,0,0
130807,0,0,0
130809,0,0,0
130810,0,0,0
130811,0,0,0
130812,1,1,1
130813,0,0,0
130901,2,2,2
130902,0,0,0
130903,0,0,0
130904,1,1,1
130905,0,1,1
130905,0,1,1
130906,1,1,1
130907,0,0,0
130908,0,0,0
131001,1,1,1
131002,1,1,1
131003,1,1,1
131004,0,0,0
131005,0,0,0
131006,2,2,2
131007,0,0,0
131101,1,1,1
131102,0,0,0
131103,0,0,0
131104,0,0,0
131201,4,4,4
131202,3,3,3
131203,1,1,1
140101,17,17,17
140102,1,1,1
140103,1,1,1
140104,0,0,0
140105,6,6,6
140107,1,1,1
140108,3,3,3
140109,0,0,0
140110,1,1,1
140110,1,1,1
140111,0,0,0
140112,1,1,1
140113,1,1,1
140113,1,1,1
140114,1,1,1
140115,3,3,3
140116,2,2,2
140117,1,1,1
140118,1,1,1
140118,1,1,1
140119,1,1,1
140120,1,1,1
140201,2,2,2
140202,0,0,0
140203,0,0,0
140204,0,0,0
140205,1,1,1
140206,0,0,0
140301,2,2,2
140302,0,0,0
140303,1,1,1
140304,1,1,1
140305,1,1,1
140306,1,1,1
140306,1,1,1
140307,2,2,2
140308,1,1,1
140309,1,1,1
140310,1,1,1
140311,1,1,1
140312,1,1,1
150101,50,50,50
150102,8,8,8
150103,67,67,67
150104,5,5,5
150105,21,21,21
150106,23,23,23
150107,7,7,7
150108,51,51,51
150109,4,4,4
150110,45,45,45
150111,21,21,21
150112,20,20,20
150113,2,2,2
150114,8,8,8
150115,33,33,33
150116,11,11,11
150117,56,56,56
150118,19,19,19
150119,13,13,13
150120,8,8,8
150121,11,11,11
150122,3,3,3
150123,15,15,15
150124,3,3,3
150125,28,28,28
150126,1,1,1
150127,1,1,1
150128,25,25,25
150129,1,1,1
150130,9,9,9
150131,1,1,1
150132,118,118,118
150133,63,63,63
150134,14,14,14
150135,110,110,110
150136,20,20,20
150137,30,30,30
150138,0,0,0
150139,2,2,2
150140,34,34,34
150141,14,14,14
150142,50,50,50
150143,58,58,58
150201,16,16,16
150202,5,5,5
150203,2,2,2
150204,6,6,6
150205,2,2,2
150301,1,1,1
150302,0,0,0
150303,0,0,0
150304,0,0,0
150305,0,0,0
150401,1,1,1
150402,0,0,0
150403,0,0,0
150404,0,0,0
150405,0,0,0
150406,0,0,0
150407,0,0,0
150501,5,5,5
150502,0,0,0
150503,0,0,0
150504,1,1,1
150505,3,3,3
150506,0,0,0
150507,2,2,2
150508,0,0,0
150509,5,5,5
150510,1,1,1
150511,0,0,0
150512,1,1,1
150513,1,1,1
150514,1,1,1
150515,0,0,0
150516,0,0,0
150601,9,9,9
150602,0,0,0
150603,0,0,0
150604,0,0,0
150605,4,4,4
150606,0,0,0
150607,0,0,0
150608,0,0,0
150609,0,0,0
150610,0,0,0
150611,0,0,0
150612,0,0,0
150701,1,1,1
150702,0,0,0
150703,0,0,0
