intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ubigeo_vecino,distrito_vecino_completo,ranking,nombre_cultivo,freq_año_previo,freq_año_post
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211208,"YANAHUAYA (SANDIA, PUNO)",4,naranjo,3,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211208,"YANAHUAYA (SANDIA, PUNO)",5,piña,3,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211209,"ALTO INAMBARI (SANDIA, PUNO)",1,platano,57,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211209,"ALTO INAMBARI (SANDIA, PUNO)",2,cafe pergamino,49,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211209,"ALTO INAMBARI (SANDIA, PUNO)",3,mandarina,39,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211209,"ALTO INAMBARI (SANDIA, PUNO)",4,naranjo,25,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211209,"ALTO INAMBARI (SANDIA, PUNO)",5,coca,22,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211210,"SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)",1,mandarina,88,11
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211210,"SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)",2,platano,85,11
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211210,"SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)",3,naranjo,59,10
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211210,"SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)",4,cafe pergamino,51,9
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211210,"SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)",5,coca,42,28
