intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2024,15,080101,"CUSCO (CUSCO, CUSCO)",5,haba grano seco,156,180,21,"CUSCO (CUSCO, CUSCO) || CCORCA (CUSCO, CUSCO) || POROY (CUSCO, CUSCO) || SAN JERONIMO (CUSCO, CUSCO) || SAN SEBASTIAN (CUSCO, CUSCO) || SANTIAGO (CUSCO, CUSCO) || SAYLLA (CUSCO, CUSCO) || WANCHAQ (CUSCO, CUSCO) || ANTA (ANTA, CUSCO) || CACHIMAYO (ANTA, CUSCO) || PUCYURA (ANTA, CUSCO) || CALCA (CALCA, CUSCO) || COYA (CALCA, CUSCO) || LAMAY (CALCA, CUSCO) || PISAC (CALCA, CUSCO) || SAN SALVADOR (CALCA, CUSCO) || TARAY (CALCA, CUSCO) || HUANOQUITE (PARURO, CUSCO) || YAURISQUE (PARURO, CUSCO) || CHINCHERO (URUBAMBA, CUSCO) || HUAYLLABAMBA (URUBAMBA, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",1,papa nativa,78,40,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",2,avena forrajera,45,14,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",3,cebada grano,38,1,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",4,maiz amilaceo,31,20,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",5,pasto natural manejado,28,7,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",1,platano,16,57,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",2,maiz amarillo duro,11,20,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",3,yuca,10,18,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",4,cafe pergamino,7,28,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
